timestamp,open,high,low,close,volume
2021-03-05 19:55:00,122.5200,122.5200,122.5200,122.5200,200
2021-03-05 19:40:00,122.6000,122.6000,122.5000,122.5000,822
2021-03-05 19:35:00,122.5000,122.5500,122.5000,122.5500,351
2021-03-05 19:30:00,122.6000,122.6000,122.5600,122.5600,812
2021-03-05 19:20:00,122.5000,122.5000,122.5000,122.5000,325
2021-03-05 19:15:00,122.5600,122.5600,122.5600,122.5600,200
2021-03-05 19:00:00,122.5600,122.5600,122.5600,122.5600,600
2021-03-05 18:30:00,122.5600,122.5600,122.5600,122.5600,340
2021-03-05 18:25:00,122.8000,122.8000,122.8000,122.8000,317
2021-03-05 18:15:00,122.5600,122.5600,122.5600,122.5600,100
2021-03-05 18:10:00,122.8000,122.8000,122.8000,122.8000,150
2021-03-05 17:35:00,122.5000,122.5000,122.5000,122.5000,130
2021-03-05 17:20:00,122.5900,122.6500,122.5900,122.6500,1542
2021-03-05 17:10:00,122.6000,122.6000,122.6000,122.6000,35087
2021-03-05 17:05:00,122.5900,122.5900,122.5900,122.5900,1100
2021-03-05 16:55:00,122.5900,122.5900,122.5900,122.5900,1000
2021-03-05 16:45:00,122.6000,122.6000,122.6000,122.6000,105
2021-03-05 16:35:00,122.6000,122.6000,122.6000,122.6000,601
2021-03-05 16:30:00,122.5900,122.6000,122.5900,122.6000,470
2021-03-05 16:25:00,122.5000,122.5000,122.5000,122.5000,1714
2021-03-05 16:20:00,122.4900,122.5000,122.4900,122.4900,400
2021-03-05 16:15:00,122.6200,122.8300,122.5000,122.5000,22267
2021-03-05 16:10:00,122.3800,122.6000,121.9800,122.6000,69936
2021-03-05 16:05:00,122.8300,122.8300,122.8300,122.8300,113749
2021-03-05 16:00:00,123.2200,123.2500,122.8000,122.8300,297226
2021-03-05 15:55:00,123.2800,123.3600,123.2060,123.2060,152219
2021-03-05 15:50:00,123.1900,123.2800,123.0300,123.2728,104340
2021-03-05 15:45:00,123.2098,123.2400,123.0800,123.2000,77990
2021-03-05 15:40:00,122.9900,123.2199,122.9200,123.2000,76525
2021-03-05 15:35:00,123.0700,123.1700,122.9800,122.9900,63449
2021-03-05 15:30:00,123.0600,123.2200,123.0057,123.0500,60612
2021-03-05 15:25:00,122.9800,123.1200,122.9200,123.1000,58735
2021-03-05 15:20:00,123.0200,123.1600,122.8700,122.9900,63810
2021-03-05 15:15:00,122.8900,123.0400,122.8300,123.0100,50869
2021-03-05 15:10:00,123.0100,123.1000,122.8600,122.8900,49611
2021-03-05 15:05:00,122.9700,123.0828,122.9200,123.0500,45006
2021-03-05 15:00:00,123.1100,123.1600,122.9504,122.9800,66385
2021-03-05 14:55:00,123.0700,123.1500,122.9900,123.1400,41012
2021-03-05 14:50:00,122.9440,123.1000,122.8800,123.0700,29118
2021-03-05 14:45:00,122.9100,123.0100,122.8800,122.9600,59851
2021-03-05 14:40:00,122.9050,123.0400,122.8500,122.9000,38851
2021-03-05 14:35:00,123.0200,123.1100,122.9100,122.9200,50616
2021-03-05 14:30:00,123.0100,123.0800,122.9407,123.0300,35139
2021-03-05 14:25:00,122.8150,123.0100,122.7800,123.0100,33892
2021-03-05 14:20:00,123.0000,123.0699,122.7500,122.8200,42669
2021-03-05 14:15:00,122.8700,122.9900,122.8100,122.9900,49856
2021-03-05 14:10:00,123.0650,123.1320,122.8000,122.8436,34454
2021-03-05 14:05:00,123.0700,123.1600,122.9300,123.1000,39249
2021-03-05 14:00:00,122.9350,123.0700,122.9000,123.0700,38247
2021-03-05 13:55:00,123.0800,123.1400,122.8500,122.9200,57752
2021-03-05 13:50:00,123.1500,123.3200,123.0900,123.0924,58972
2021-03-05 13:45:00,123.6700,123.7500,123.0900,123.1100,66460
2021-03-05 13:40:00,123.6187,123.6700,123.5700,123.6500,93642
2021-03-05 13:35:00,123.6400,123.6400,123.4200,123.6100,122050
2021-03-05 13:30:00,123.5500,123.6900,123.5200,123.6150,99404
2021-03-05 13:25:00,123.4000,123.5900,123.3700,123.5600,123763
2021-03-05 13:20:00,123.2000,123.4818,123.2000,123.3900,96261
2021-03-05 13:15:00,122.9500,123.2200,122.8500,123.2200,131674
2021-03-05 13:10:00,122.7700,123.0000,122.7200,122.9501,132099
2021-03-05 13:05:00,123.1201,123.3200,122.7500,122.7500,203250
2021-03-05 13:00:00,122.8000,123.1400,122.8000,123.1300,129112
2021-03-05 12:55:00,122.9700,123.0500,122.7400,122.8150,144925
2021-03-05 12:50:00,122.4600,122.9900,122.4600,122.9600,150249
2021-03-05 12:45:00,122.1300,122.4900,122.1300,122.4800,108725
2021-03-05 12:40:00,122.0350,122.1400,121.9545,122.1290,114103
2021-03-05 12:35:00,122.0500,122.1300,122.0100,122.0500,42149
2021-03-05 12:30:00,122.1000,122.1000,121.9400,122.0300,28840
2021-03-05 12:25:00,122.0100,122.1600,121.9200,122.1100,72066
2021-03-05 12:20:00,121.8800,122.0500,121.8500,122.0200,65243
2021-03-05 12:15:00,121.7700,121.8899,121.7300,121.8799,34602
2021-03-05 12:10:00,121.7500,121.8250,121.7200,121.7800,36524
2021-03-05 12:05:00,121.6923,121.8000,121.6000,121.7600,49335
2021-03-05 12:00:00,121.2400,121.7200,121.2200,121.6500,48103
2021-03-05 11:55:00,121.3050,121.3800,121.1900,121.2400,32510
2021-03-05 11:50:00,121.3801,121.4700,121.2400,121.3400,41529
2021-03-05 11:45:00,121.1999,121.4400,121.0700,121.4400,74440
2021-03-05 11:40:00,120.9700,121.2700,120.9500,121.1900,77041
2021-03-05 11:35:00,120.9700,121.1900,120.8800,120.9300,94436
2021-03-05 11:30:00,121.1500,121.2200,120.9100,120.9450,101939
2021-03-05 11:25:00,121.1900,121.2900,121.0800,121.1300,38108
2021-03-05 11:20:00,121.1900,121.3100,121.0900,121.2200,45969
2021-03-05 11:15:00,121.4300,121.5000,121.1500,121.1600,45960
2021-03-05 11:10:00,121.3400,121.4300,121.0870,121.4200,37190
2021-03-05 11:05:00,121.4800,121.5400,121.2200,121.3600,56368
2021-03-05 11:00:00,121.8300,121.8440,121.3850,121.4600,62072
2021-03-05 10:55:00,121.8900,122.0100,121.7850,121.8300,71244
2021-03-05 10:50:00,121.7200,121.9150,121.5620,121.8800,51704
2021-03-05 10:45:00,121.7400,121.8900,121.7200,121.7400,82027
2021-03-05 10:40:00,121.5550,121.9800,121.5550,121.7550,88810
2021-03-05 10:35:00,121.4500,121.6000,121.3000,121.5700,93147
2021-03-05 10:30:00,121.4500,121.8500,121.3800,121.4052,52561
2021-03-05 10:25:00,121.7700,121.8400,121.3750,121.4400,76629
2021-03-05 10:20:00,121.5900,121.8300,121.2301,121.7900,60381
2021-03-05 10:15:00,121.8975,122.0750,121.3000,121.5600,127160
2021-03-05 10:10:00,121.5600,121.9500,121.4000,121.9050,65950
2021-03-05 10:05:00,121.1900,121.6000,121.1900,121.5700,97985
2021-03-05 10:00:00,120.7900,121.2500,120.7900,121.1900,79776
2021-03-05 09:55:00,120.6200,120.8394,120.4800,120.7600,64210
2021-03-05 09:50:00,120.6800,120.9400,120.6500,120.7000,94700
2021-03-05 09:45:00,120.6800,121.1400,120.5600,120.6500,73137
